"문제키값","문제","오픈일자","보기순번","보기정보","정답여부"
"813","다음 중 ( )속의 낱말의 쓰임이 바르지 않은 것은?","20151214","4575","바람이 심하고 풍랑이 높은 와중에도 그는 (아랑곳하지) 않고 잠만 잤다.",""
"813","다음 중 ( )속의 낱말의 쓰임이 바르지 않은 것은?","20151214","4576","여러 사람의 의견이 엇갈리다 보니 나도 판단하기가 (곤혹스럽기)만 했다.",""
"812","다음 중 ( )속 부분이 어법에 맞는 것은?","20151211","4569","쇠뿔에 (받혔다).","정답"
"812","다음 중 ( )속 부분이 어법에 맞는 것은?","20151211","4570","옷을 (달인다).",""
"812","다음 중 ( )속 부분이 어법에 맞는 것은?","20151211","4571","마차가 화물차에 (부딪쳤다).",""
"812","다음 중 ( )속 부분이 어법에 맞는 것은?","20151211","4572","나라를 위해 목숨을 (받쳤다).",""
"811","다음 중 ( )속의 표현이 옳지 않은 것은?","20151210","4565","어머니가 아버지의 양복을 (다린다).",""
"811","다음 중 ( )속의 표현이 옳지 않은 것은?","20151210","4566","비가 와서 우산을 (받치고) 나갔다.",""
"811","다음 중 ( )속의 표현이 옳지 않은 것은?","20151210","4567","약속은 (반드시) 지켜라.",""
"811","다음 중 ( )속의 표현이 옳지 않은 것은?","20151210","4568","내가 (하느라고) 한 것이 이 모양이다.","정답"
"810","다음 중 ( )속의 띄어쓰기가 틀린 것은?","20151209","4561","그는 (이성적이라기) 보다는 감성적이다.",""
"810","다음 중 ( )속의 띄어쓰기가 틀린 것은?","20151209","4562","우리는 그렇게 (할 수밖에) 없었다.",""
"810","다음 중 ( )속의 띄어쓰기가 틀린 것은?","20151209","4563","여행할 때 옷을 (한 벌만) 가지고 가는 사람은 무모하다.",""
"810","다음 중 ( )속의 띄어쓰기가 틀린 것은?","20151209","4564","그 곳에 가려면 (한 시간내지) 두 시간이 걸린다.","정답"
"809","다음 중 ( )속의 띄어쓰기가 틀린 것은?","20151208","4557","(수업 중에) 휴대전화를 받는 것은 예의에 어긋난다.",""
"809","다음 중 ( )속의 띄어쓰기가 틀린 것은?","20151208","4558","그가 구입한 물건이 (얼마어치)인지 짐작하기 어렵다.",""
"809","다음 중 ( )속의 띄어쓰기가 틀린 것은?","20151208","4559","그 사람은 오직 졸업장을 (따는데) 목적이 있는 듯하다.","정답"
"809","다음 중 ( )속의 띄어쓰기가 틀린 것은?","20151208","4560","그는 차를( 살 만한) 형편이 못 된다.",""
"808","다음 중 표준어가 아닌 것은?","20151207","4553","끄나풀",""
"808","다음 중 표준어가 아닌 것은?","20151207","4554","나발꽃","정답"
"808","다음 중 표준어가 아닌 것은?","20151207","4555","부엌",""
"808","다음 중 표준어가 아닌 것은?","20151207","4556","분침",""
"807","표준어의 제정 원칙이 아닌 것은?","20151204","4549","시대적 조건",""
"807","표준어의 제정 원칙이 아닌 것은?","20151204","4550","계층적 조건",""
"807","표준어의 제정 원칙이 아닌 것은?","20151204","4551","지역적 조건",""
"807","표준어의 제정 원칙이 아닌 것은?","20151204","4552","역사적 조건","정답"
"806","다음 표준어를 정하는 원칙의 ( )속에 알맞은 말은? 표준어는 ( )있는 사람들이 두루 쓰는 ( ) ( )말로 정함을 원칙으로 한다.","20151203","4545","교양 현대 서울","정답"
"806","다음 표준어를 정하는 원칙의 ( )속에 알맞은 말은? 표준어는 ( )있는 사람들이 두루 쓰는 ( ) ( )말로 정함을 원칙으로 한다.","20151203","4546","품위 현재 중앙",""
"806","다음 표준어를 정하는 원칙의 ( )속에 알맞은 말은? 표준어는 ( )있는 사람들이 두루 쓰는 ( ) ( )말로 정함을 원칙으로 한다.","20151203","4547","교양 현대 중앙",""
"806","다음 표준어를 정하는 원칙의 ( )속에 알맞은 말은? 표준어는 ( )있는 사람들이 두루 쓰는 ( ) ( )말로 정함을 원칙으로 한다.","20151203","4548","품위 현재 서울",""
"805","다음 중 두가지 의미로 해석될 수 있는 것은?","20151202","4541","임금님의 귀가 당나귀의 귀와 비슷하다.",""
"805","다음 중 두가지 의미로 해석될 수 있는 것은?","20151202","4542","가을엔 쪽빛 하늘과 황금빛 들판이 맞닿는다.",""
"805","다음 중 두가지 의미로 해석될 수 있는 것은?","20151202","4543","나는 눈이 큰 진영이의 언니를 선생님께 소개해 드렸다.","정답"
"805","다음 중 두가지 의미로 해석될 수 있는 것은?","20151202","4544","일상 생활에서도 관용적인 표현을 다양하게 사용할 수 있다.",""
"804","다음 중 두가지 이상으로 해석될 수 있는 문장은?","20151201","4537","고향의 아름다운 하늘을 생각한다.",""
"804","다음 중 두가지 이상으로 해석될 수 있는 문장은?","20151201","4538","정식이는 자기의 차에 영호를 태웠다.",""
"804","다음 중 두가지 이상으로 해석될 수 있는 문장은?","20151201","4539","모든 국민은 집회의 자유를 가진다.",""
"804","다음 중 두가지 이상으로 해석될 수 있는 문장은?","20151201","4540","초대받은 손님이 모두 오지 않았다.","정답"
"803","다음 중 동의 관계에 있는 것끼리 묶은 것은?","20151130","4533","(장미) 한 다발을 선물하였다. : 정원에 있는 (꽃)이 예쁘다.",""
"803","다음 중 동의 관계에 있는 것끼리 묶은 것은?","20151130","4534","그녀의 얼굴은 종잇장처럼 (희다). : 햇볕에 살이 타서 피부가 (검다).",""
"803","다음 중 동의 관계에 있는 것끼리 묶은 것은?","20151130","4535","(매달) 기부금을 고아원에 보냈다. : 월간지를 (다달이) 구독하였다.","정답"
"803","다음 중 동의 관계에 있는 것끼리 묶은 것은?","20151130","4536","(책상 다리)가 심하게 부서졌다. : (개의 다리)는 모두 네 개이다.",""
"802","높임법으로 틀린 것은?","20151127","4529","철수야 선생님께서 오라셔.",""
"802","높임법으로 틀린 것은?","20151127","4530","교장선생님 말씀이 계시겠습니다.","정답"
"802","높임법으로 틀린 것은?","20151127","4531","할머니 귀가 참 밝으십니다.",""
"802","높임법으로 틀린 것은?","20151127","4532","아저씨는 살림이 넉넉하시다.",""
"801","다음 중 '높임법'을 보여주는 예가 아닌 것은?","20151126","4525","주다/드리다",""
"801","다음 중 '높임법'을 보여주는 예가 아닌 것은?","20151126","4526","밥/진지",""
"801","다음 중 '높임법'을 보여주는 예가 아닌 것은?","20151126","4527","죽다/숨지다","정답"
"801","다음 중 '높임법'을 보여주는 예가 아닌 것은?","20151126","4528","받다/받으시다",""
"800","다음 중 객체높임법을 사용한 문장은?","20151125","4521","할머니께서는 아침 진지를 잡수셨다.",""
"800","다음 중 객체높임법을 사용한 문장은?","20151125","4522","아버지께서는 어제 밤잠을 푹 주무셨다.",""
"800","다음 중 객체높임법을 사용한 문장은?","20151125","4523","우리 나라의 옛 선조들은 사군자를 높이 기리셨다.",""
"800","다음 중 객체높임법을 사용한 문장은?","20151125","4524","어제 아버지께서 할머니께 선물을 드리셨다.","정답"
"799","객체높임법이 사용된 문장은?","20151124","4517","이 책을 읽으십시오.",""
"799","객체높임법이 사용된 문장은?","20151124","4518","학생들이 선생님께 조그만 선물을 드린다.","정답"
"799","객체높임법이 사용된 문장은?","20151124","4519","임금님이시여 부디 만수무강하소서.",""
"799","객체높임법이 사용된 문장은?","20151124","4520","아버지께서 안방에 들어가신다.",""
"798","다음 중 행위의 주체를 높이는 표현법이 아닌 문장은?","20151123","4513","할머니께서 (진지)를 드신다.",""
"798","다음 중 행위의 주체를 높이는 표현법이 아닌 문장은?","20151123","4514","나는 어머니께 과일을 (드렸다).","정답"
"798","다음 중 행위의 주체를 높이는 표현법이 아닌 문장은?","20151123","4515","할아버지께서 병원에 (다녀오셨다).",""
"798","다음 중 행위의 주체를 높이는 표현법이 아닌 문장은?","20151123","4516","(선생님께서) 부모님께 가정 통신문을 발송하였다.",""
"797","말하는 이와 듣는 이의 지위에 따른 단어의 쓰임이 바른 문장은?","20151120","4509","할아버지 어머니께서 밥 드시래요.",""
"797","말하는 이와 듣는 이의 지위에 따른 단어의 쓰임이 바른 문장은?","20151120","4510","참 오랜만이네 자네 선친께서는 편안하신가?",""
"797","말하는 이와 듣는 이의 지위에 따른 단어의 쓰임이 바른 문장은?","20151120","4511","선생님께서 누추한 우리 집을 몸소 찾아 주셨다.","정답"
"797","말하는 이와 듣는 이의 지위에 따른 단어의 쓰임이 바른 문장은?","20151120","4512","선생님 저를 가르치시느라 대단히 수고하셨습니다.",""
"796","다음 중 음운첨가 현상이 아닌 것은?","20151119","4505","머리카락",""
"796","다음 중 음운첨가 현상이 아닌 것은?","20151119","4506","좁쌀",""
"796","다음 중 음운첨가 현상이 아닌 것은?","20151119","4507","연못가","정답"
"796","다음 중 음운첨가 현상이 아닌 것은?","20151119","4508","촛불",""
"795","다음 중 ( ) 속의 말을 축약이 일어나기 전의 상태로 쓴 것 중 틀린 것은?","20151118","4501","하늘이 맑게 (갰구나). --> 개었구나",""
"795","다음 중 ( ) 속의 말을 축약이 일어나기 전의 상태로 쓴 것 중 틀린 것은?","20151118","4502","범인이 경찰에게 (잡혔다). --> 잡히였다","정답"
"795","다음 중 ( ) 속의 말을 축약이 일어나기 전의 상태로 쓴 것 중 틀린 것은?","20151118","4503","여기 붙여둔 그림을 누가 (뗏나)? --> 떼었나",""
"795","다음 중 ( ) 속의 말을 축약이 일어나기 전의 상태로 쓴 것 중 틀린 것은?","20151118","4504","선반에 물건이 많이 (얹혀) 있다. --> 얹히어",""
"794","다음 중 모음조화가 제대로 지켜지지 않은 단어는?","20151117","4497","고와",""
"794","다음 중 모음조화가 제대로 지켜지지 않은 단어는?","20151117","4498","서러워",""
"794","다음 중 모음조화가 제대로 지켜지지 않은 단어는?","20151117","4499","놀라워","정답"
"794","다음 중 모음조화가 제대로 지켜지지 않은 단어는?","20151117","4500","한스러워",""
"793","다음 중 ( )속의 발음이 틀린 것은?","20151116","4493","자넨 참 (늙지)도 않네그려. --> 늑찌",""
"793","다음 중 ( )속의 발음이 틀린 것은?","20151116","4494","세계는 (넓고) 할 일은 많다. --> 널꼬",""
"793","다음 중 ( )속의 발음이 틀린 것은?","20151116","4495","새로 산 신발이 (닳지)도 않는구나. --> 달찌","정답"
"793","다음 중 ( )속의 발음이 틀린 것은?","20151116","4496","쓸쓸한 웃음을 (웃다). --> 젪따",""
"792","다음 중 ( )속의 발음이 틀린 것은?","20151113","4489","밝다(박따)",""
"792","다음 중 ( )속의 발음이 틀린 것은?","20151113","4490","읽고(익꼬)","정답"
"792","다음 중 ( )속의 발음이 틀린 것은?","20151113","4491","긁다(극따)",""
"792","다음 중 ( )속의 발음이 틀린 것은?","20151113","4492","늙지(늑찌)",""
"791","다음 외래어 일본식 표현 등을 쉬운 우리말식 표기로 고쳐 쓸 때 잘못 고쳐진 것은?","20151112","4485","한강 (고수부지)의 개발로 시민들은 여러 가지 체육 시설을 이용할 수 있게 되었다. --> 둔치",""
"791","다음 외래어 일본식 표현 등을 쉬운 우리말식 표기로 고쳐 쓸 때 잘못 고쳐진 것은?","20151112","4486","오래된 (나대지)에서는 종종 유물이 발굴되었다. --> 빈 집터",""
"791","다음 외래어 일본식 표현 등을 쉬운 우리말식 표기로 고쳐 쓸 때 잘못 고쳐진 것은?","20151112","4487","많은 차들이 (인터체인지)로 진입하고 있다. --> 나들목",""
"791","다음 외래어 일본식 표현 등을 쉬운 우리말식 표기로 고쳐 쓸 때 잘못 고쳐진 것은?","20151112","4488","실패할 수밖에 없는 일인 걸 알면서도 (무뎃뽀로) 계속 도전한다. --> 무식하게","정답"
"790","다음 일본어투를 우리말로 순화할 때 적절하지 않은 것은?","20151111","4481","3년간의 (견습)기간을 성공적으로 마치면 정식 직원으로 채용한다. --> 수습",""
"790","다음 일본어투를 우리말로 순화할 때 적절하지 않은 것은?","20151111","4482","시간이 변경되었음을 (고지)합니다. --> 알림",""
"790","다음 일본어투를 우리말로 순화할 때 적절하지 않은 것은?","20151111","4483","연말이 되면 (망년회) 때문에 거리에서 만취하여 자다가 돌연사하는 사람이 늘고 있다. --> 송년회",""
"790","다음 일본어투를 우리말로 순화할 때 적절하지 않은 것은?","20151111","4484","그는 어른이 되어서는 (사시미)를 좋아하지 않았다. --> 회칼","정답"
"789","( )속의 말이 표준어인 것은?","20151110","4477","경호는 (우레)같은 박수 소리를 듣고 기분이 좋았다.","정답"
"789","( )속의 말이 표준어인 것은?","20151110","4478","성민이는 설 명절 때면 (으례) 외할아버지를 찾아뵙곤 했다.",""
"789","( )속의 말이 표준어인 것은?","20151110","4479","한철이는 성격이 하도 (괴퍅)해서 따르는 사람이 없다.",""
"789","( )속의 말이 표준어인 것은?","20151110","4480","자에 아이 (첫돐)이 4월 중순쯤 되지?",""
"788","( )속의 말이 표준어인 것은?","20151109","4473","다음 보기 중 (알맞는) 것을 고르시오.",""
"788","( )속의 말이 표준어인 것은?","20151109","4474","그 학생은 예의가 (발랐다).","정답"
"788","( )속의 말이 표준어인 것은?","20151109","4475","시험을 (치루고) 나니 허탈했다.",""
"788","( )속의 말이 표준어인 것은?","20151109","4476","이제 막 (먹을려고) 했다.",""
"787","다음 중 표준어가 아닌 것은?","20151106","4469","웃목","정답"
"787","다음 중 표준어가 아닌 것은?","20151106","4470","구절",""
"787","다음 중 표준어가 아닌 것은?","20151106","4471","으레",""
"787","다음 중 표준어가 아닌 것은?","20151106","4472","상추",""
"786","다음 중 표준어 표기가 틀린 것은?","20151105","4465","깍두기",""
"786","다음 중 표준어 표기가 틀린 것은?","20151105","4466","오뚜기","정답"
"786","다음 중 표준어 표기가 틀린 것은?","20151105","4467","뻐꾸기",""
"786","다음 중 표준어 표기가 틀린 것은?","20151105","4468","거꾸로",""
"785","다음 중 ( )속의 말이 어법에 맞게 표기된 것은?","20151104","4461","박 사장은 자기 돈이 어떻게 (쓰여지는 지)도 몰랐다.",""
"785","다음 중 ( )속의 말이 어법에 맞게 표기된 것은?","20151104","4462","그녀는 조금만 (추어올리면) 기고만장해진다.","정답"
"785","다음 중 ( )속의 말이 어법에 맞게 표기된 것은?","20151104","4463","(나룻터)는 이미 사람들로 가득 차 있었다.",""
"785","다음 중 ( )속의 말이 어법에 맞게 표기된 것은?","20151104","4464","우리들은 (서슴치) 않고 차에 올랐다.",""
"784","다음 중 맞춤법에 맞는 것은?","20151103","4457","거칠은 들판",""
"784","다음 중 맞춤법에 맞는 것은?","20151103","4458","날으는 기차",""
"784","다음 중 맞춤법에 맞는 것은?","20151103","4459","녹슨 철모","정답"
"784","다음 중 맞춤법에 맞는 것은?","20151103","4460","옥상에 내걸은 현수막",""
"783","다음 중 표기가 틀린 것은?","20151102","4453","어린이난",""
"783","다음 중 표기가 틀린 것은?","20151102","4454","깍두기",""
"783","다음 중 표기가 틀린 것은?","20151102","4455","독자란",""
"783","다음 중 표기가 틀린 것은?","20151102","4456","끼여들기","정답"
"782","( )속에 알맞은 말은? 이 자리를 ( ) 감사의 말씀을 드립니다.","20151030","4449","빌려","정답"
"782","( )속에 알맞은 말은? 이 자리를 ( ) 감사의 말씀을 드립니다.","20151030","4450","빌어",""
"782","( )속에 알맞은 말은? 이 자리를 ( ) 감사의 말씀을 드립니다.","20151030","4451","빌여",""
"782","( )속에 알맞은 말은? 이 자리를 ( ) 감사의 말씀을 드립니다.","20151030","4452","비러",""
"781","다음 중 표준어가 아닌 것은?","20151029","4445","멍게",""
"781","다음 중 표준어가 아닌 것은?","20151029","4446","우렁쉥이",""
"781","다음 중 표준어가 아닌 것은?","20151029","4447","빈대떡",""
"781","다음 중 표준어가 아닌 것은?","20151029","4448","생안손","정답"
"780","다음 중 표준어가 아닌 것은?","20151028","4441","겸상",""
"780","다음 중 표준어가 아닌 것은?","20151028","4442","고봉밥",""
"780","다음 중 표준어가 아닌 것은?","20151028","4443","단벌",""
"780","다음 중 표준어가 아닌 것은?","20151028","4444","알타리무","정답"
"779","다음 중 표준어가 아닌 것은?","20151027","4437","살쾡이",""
"779","다음 중 표준어가 아닌 것은?","20151027","4438","장사치",""
"779","다음 중 표준어가 아닌 것은?","20151027","4439","수캉아지",""
"779","다음 중 표준어가 아닌 것은?","20151027","4440","어질머리","정답"
"778","다음 중 표준어가 아닌 것은?","20151026","4433","광주리",""
"778","다음 중 표준어가 아닌 것은?","20151026","4434","국물",""
"778","다음 중 표준어가 아닌 것은?","20151026","4435","담배꽁추","정답"
"778","다음 중 표준어가 아닌 것은?","20151026","4436","부스러기",""
"777","표준어 표기가 틀린 것은?","20151023","4429","깍두기",""
"777","표준어 표기가 틀린 것은?","20151023","4430","오뚜기","정답"
"777","표준어 표기가 틀린 것은?","20151023","4431","뻐꾸기",""
"777","표준어 표기가 틀린 것은?","20151023","4432","거꾸로",""
"776","다음 중 표준어가 아닌 것은?","20151022","4425","웃목","정답"
"776","다음 중 표준어가 아닌 것은?","20151022","4426","구절",""
"776","다음 중 표준어가 아닌 것은?","20151022","4427","으레",""
"776","다음 중 표준어가 아닌 것은?","20151022","4428","상추",""
"775","다음 중 단어가 잘못 쓰인 것은?","20151021","4421","끄나풀",""
"775","다음 중 단어가 잘못 쓰인 것은?","20151021","4422","사글세",""
"775","다음 중 단어가 잘못 쓰인 것은?","20151021","4423","미쟁이","정답"
"775","다음 중 단어가 잘못 쓰인 것은?","20151021","4424","설거지",""
"774","다음 중 표준어가 아닌 것은?","20151020","4417","널따랗다",""
"774","다음 중 표준어가 아닌 것은?","20151020","4418","아지랑이",""
"774","다음 중 표준어가 아닌 것은?","20151020","4419","윗도리",""
"774","다음 중 표준어가 아닌 것은?","20151020","4420","뒷꿈치","정답"
"773","다음 중 ( )속의 표기가 틀린 것은?","20151019","4413","걷다가 벽에 머리를 (부딪혔다).",""
"773","다음 중 ( )속의 표기가 틀린 것은?","20151019","4414","(넉넉치) 않은 가정 형편에서도 웃음을 잃지 않고 살고 있다.","정답"
"773","다음 중 ( )속의 표기가 틀린 것은?","20151019","4415","우산을 (받쳐) 들고 길을 갔다.",""
"773","다음 중 ( )속의 표기가 틀린 것은?","20151019","4416","어머니의 속을 (썩이고) 말았다.",""
"772","다음 맞춤법 규정의 표기가 틀린 것은?","20151016","4409","과감히",""
"772","다음 맞춤법 규정의 표기가 틀린 것은?","20151016","4410","반듯이",""
"772","다음 맞춤법 규정의 표기가 틀린 것은?","20151016","4411","솔직이","정답"
"772","다음 맞춤법 규정의 표기가 틀린 것은?","20151016","4412","열심히",""
"771","다음 중 어미의 된소리 표기가 맞지 않는 것은?","20151015","4405","나도 같이 갈께","정답"
"771","다음 중 어미의 된소리 표기가 맞지 않는 것은?","20151015","4406","우리도 함께 갈까?",""
"771","다음 중 어미의 된소리 표기가 맞지 않는 것은?","20151015","4407","나도 같이 갑니까?",""
"771","다음 중 어미의 된소리 표기가 맞지 않는 것은?","20151015","4408","나라고 못 갈쏘냐?",""
"770","다음에서 안은 문장은?","20151014","4401","하늘이 맑고 푸르다.",""
"770","다음에서 안은 문장은?","20151014","4402","늦어서 집에 못 간다.",""
"770","다음에서 안은 문장은?","20151014","4403","어머니는 매일 시장에 가신다.",""
"770","다음에서 안은 문장은?","20151014","4404","푸른 하늘이 매우 아름답다.","정답"
"769","다음 중 표기가 틀린 것은?","20151013","4397","닫히다",""
"769","다음 중 표기가 틀린 것은?","20151013","4398","묻히다",""
"769","다음 중 표기가 틀린 것은?","20151013","4399","설겆이","정답"
"769","다음 중 표기가 틀린 것은?","20151013","4400","굳이",""
"768","다음 중 띄어쓰기가 잘못된 것은?","20151012","4393","그는 아는대로 말했다.","정답"
"768","다음 중 띄어쓰기가 잘못된 것은?","20151012","4394","그는 키는 작은데 참 야무지다.",""
"768","다음 중 띄어쓰기가 잘못된 것은?","20151012","4395","우리 민족의 염원은 통일뿐이다.",""
"768","다음 중 띄어쓰기가 잘못된 것은?","20151012","4396","학기가 시작된 지 두 달이 지났다.",""
"767","다음 중 대등하게 이어진 문장은?","20151008","4389","기러기는 외로움을 상징하고 비둘기는 평화를 상징한다.","정답"
"767","다음 중 대등하게 이어진 문장은?","20151008","4390","가시가 많은 꽃나무는 장미다.",""
"767","다음 중 대등하게 이어진 문장은?","20151008","4391","당신이 떠나면 난 서러워진다.",""
"767","다음 중 대등하게 이어진 문장은?","20151008","4392","나는 당신들이 시험에 합격하기를 빈다.",""
"766","다음 중 국어의 어휘상의 특질으로 알맞은 것은?","20151007","4385","한자어보다 고유어를 많이 사용한다.",""
"766","다음 중 국어의 어휘상의 특질으로 알맞은 것은?","20151007","4386","평등사상의 영향으로 경어법이 발달하였다.",""
"766","다음 중 국어의 어휘상의 특질으로 알맞은 것은?","20151007","4387","단어에 성과 수의 구별이 있다.",""
"766","다음 중 국어의 어휘상의 특질으로 알맞은 것은?","20151007","4388","감각어가 발달하였다.","정답"
"765","다음 중 국어의 어휘상 특질이 아닌 것은?","20151006","4381","조사 어미의 발달","정답"
"765","다음 중 국어의 어휘상 특질이 아닌 것은?","20151006","4382","상징어의 발달",""
"765","다음 중 국어의 어휘상 특질이 아닌 것은?","20151006","4383","감각어의 발달",""
"765","다음 중 국어의 어휘상 특질이 아닌 것은?","20151006","4384","높임말 높임법의 발달",""
"764","띄어쓰기가 틀린 것은?","20151005","4377","아빠를 빼다 박은듯 닮았다.","정답"
"764","띄어쓰기가 틀린 것은?","20151005","4378","모르겠다는 듯 눈만 껌뻑였다.",""
"764","띄어쓰기가 틀린 것은?","20151005","4379","약속 시간에 늦은 듯하다.",""
"764","띄어쓰기가 틀린 것은?","20151005","4380","땀이 비 오듯 쏟아졌다.",""
"763","다음 중 띄어쓰기가 틀린 것은?","20151002","4373","다 읽는 데 한참 걸렸다.",""
"763","다음 중 띄어쓰기가 틀린 것은?","20151002","4374","머리 아픈데 먹는 약이다.","정답"
"763","다음 중 띄어쓰기가 틀린 것은?","20151002","4375","그 친구는 딸만 둘이네.",""
